id,city,avg_cost,population,other
501,Palekastro,67.1410204,346121,9.56146
502,Brangsi,64.6500339,471826,-18.74362
503,Al Qurḩ,89.4799068,777722,-3.81611
504,Hinvi,64.5567122,129579,9.18697
505,La Concordia,79.097972,350338,-12.69063
506,Sosnovyy Bor,44.7701948,572536,14.52324
507,Strellc i Ulët,14.702106,612568,8.4525
508,Kotabaru,16.1270992,111189,13.70325
509,Jabonga,90.9994908,145726,2.23715
510,Ar Ruḩaybah,94.0882295,171559,-22.51811
511,Stockholm,2.0244496,422965,21.37834
512,Almargem do Bispo,2.7571761,417699,-0.616
513,Ekazhevo,83.1180763,454888,-4.5202
514,Lotoshino,6.0888665,213778,-8.81871
515,Niederwaldkirchen,37.5072435,316311,3.64413
516,Zalanga,47.1167595,333954,18.92638
517,Tajike’abati,64.605143,301503,-9.58093
518,Oslo,21.928728,97217,-17.05967
519,Lanat,84.4586844,746392,1.40275
520,Balas,45.4810232,956719,6.06206
521,Pointe-à-Pitre,69.5209571,578400,19.33869
522,Changzhou,59.6659118,352324,-13.35092
523,Cartagena,65.8212754,198397,-0.30553
524,Leye,37.187054,514029,-11.65325
525,He’an,70.5842957,565107,-6.99509
526,Mojoroto,25.9516368,825803,-0.18856
527,Puerto Parra,48.864142,998380,6.93958
528,Kotabesi,90.2436239,707743,-8.82125
529,Wangchang,48.7442038,709235,-19.96139
530,Yakymivka,59.2583699,838800,-19.66167
531,Tinta,21.012578,579476,-1.35855
532,Ciilat,24.8520122,681237,-22.61957
533,Sremčica,90.6889874,284815,-5.61981
534,Lousado,58.1472641,509541,9.66316
535,Lansing,57.7281668,827771,1.86501
536,Shuinanxu,4.7783264,536549,13.76946
537,Tukan,67.9318451,870041,-7.46248
538,Trieste,59.2641274,32595,15.48668
539,Rybnoye,91.8731823,178857,18.62682
540,Chayuan,13.0116081,355509,3.28738
541,Spitak,78.8974652,930899,-10.83364
542,Cikuning,43.7522381,731950,19.21935
543,Chisht-e Sharīf,42.3821258,494370,21.77956
544,Karanggeneng,9.3254937,299992,-5.31592
545,Krajan Tambakrejo,35.674264,324241,18.49181
546,Nambak Tengah,59.7572734,330752,20.22555
547,Embu,43.6486049,298036,13.33463
548,Capas,95.6258387,320122,13.76157
549,Tangguhang,80.7823073,504972,14.77841
550,Lambangan Kulon,49.4336921,402495,-24.42724
551,Guanshan,8.1277083,695260,9.20404
552,Lidong,78.5384429,402468,3.93325
553,Kembang,54.5915868,443539,22.73186
554,Pucallpa,45.3345186,939889,-9.49928
555,Chroustovice,54.4829275,830244,-1.41181
556,Ajman,53.1698256,546063,-20.26752
557,Ciharalang,81.4158592,894520,8.83911
558,Novo Selo,24.7048655,663812,-7.70518
559,Chonchi,40.5033129,985644,5.80136
560,Alavus,56.3116613,485039,-15.73518
561,Pesagen,71.9307001,156288,14.57277
562,Cidahu,37.7726175,771678,-15.94999
563,Souto,89.0794551,92932,-20.82048
564,Kloangrotat,88.1923759,489842,-1.86332
565,Mancogeh,26.9608789,212314,-12.47757
566,Wrząsowice,56.6593504,689309,-1.7392
567,Iperó,30.202231,644383,-12.37773
568,Phu Kam Yao,40.0681688,569489,24.46692
569,Kosmonosy,52.4036743,131621,-17.09994
570,Imrīsh,7.2443346,120404,21.47169
571,Извор,40.9957081,629316,9.61835
572,Fengting,2.5041504,568258,-17.56329
573,Złotniki Kujawskie,4.9999904,158550,-1.43313
574,At-Bashi,94.8853358,107013,-10.62002
575,Göteborg,70.4613738,242478,18.43119
576,Daykitin,7.2967504,175811,-23.18568
577,Quebrada de Arena,2.9808355,601116,2.31628
578,Lomba,96.7684258,352129,16.98237
579,Gangou,72.0322244,614202,-17.99567
580,La Celia,24.798038,120166,17.08493
581,Limoges,82.1596463,913593,24.11395
582,Refojos,99.8245098,628498,6.90955
583,Shiyuan,36.1347374,833440,-18.59898
584,Semeljci,91.3845434,90095,9.91773
585,Dourbali,7.5830196,129524,-4.88434
586,Villa Santa Rosa,31.108137,834216,-8.38191
587,Kentville,46.7069287,802466,-18.97668
588,Shangjin,21.9507574,127661,-23.8472
589,Fuzhai,1.2115495,597033,-8.26447
590,Kajanan,54.5969145,339223,-13.12151
591,Nato,41.5511239,63196,-8.26788
592,Yengimahalla,99.9932898,682383,-23.19138
593,Tharyarwady,19.7122552,818910,24.54122
594,Tartu,28.1135194,342713,-16.37099
595,Haibara,96.3686092,290194,10.40496
596,Arjona,27.6442094,291129,-10.0645
597,Salacgrīva,29.1361782,425057,-4.34074
598,Matagami,51.3653822,827773,-12.9486
599,Ar Rawnah,71.7967531,954869,6.24557
600,Singabarong,22.8765506,531290,-4.63568
601,Glogovac,15.4614887,844174,-21.48203
602,Luopioinen,29.5552077,240590,14.11057
603,Sairam,88.9138259,396953,-12.24532
604,Gajrug,39.5878935,750600,-1.13886
605,Quinta do Anjo,73.4002239,317068,-5.15396
606,Herrera,15.9062413,755836,18.6439
607,Longqiao,57.2942252,39339,-7.90302
608,Jaru,88.1919422,401205,-24.55945
609,Tegalrejo,46.5474226,913512,21.90837
610,Isidro Fabela,74.8394752,982341,1.84755
611,Jiahe,43.9075168,310123,-18.28451
612,Słupno,84.1744805,777209,0.21945
613,Keruguya,20.7226258,972331,-4.03341
614,Wutun,48.7302778,113384,3.10581
615,New York City,23.8778133,745804,-24.7688
616,Limulunga,49.9891303,415110,-18.70929
617,Chifeng,87.2242317,624613,11.03206
618,Zabaykal’sk,64.6683036,509109,9.25751
619,Tsirang,52.7187778,185755,-19.18485
620,El Carmen,57.1435397,87587,-8.60303
621,Soloneshnoye,70.5920148,746050,1.92116
622,Gongjiang,40.6541599,697625,15.29826
623,Krajan,61.7622175,211571,14.70721
624,Zhaojia,51.0006355,822903,2.58645
625,Malo,39.4784705,425450,-22.57776
626,Ban Lŭng,3.0697461,237499,20.91776
627,Higetegera,93.0615781,364857,7.85591
628,La‘l,82.8283106,390139,6.33832
629,Guofu,88.3474691,79176,16.96438
630,Niedzica,8.1358439,231653,-17.74731
631,Västerås,5.7447446,232415,23.88722
632,Malim,17.5308193,551630,-24.09527
633,Ligang,6.2607381,542386,-10.29975
634,Mēga,70.3598881,761612,-24.46518
635,Paranaguá,25.7212805,507460,-1.3027
636,Krasnoye,11.3793315,146265,-8.47127
637,Heqiao,17.1287305,414703,-8.44894
638,Watunggong,81.7396097,939916,-22.31062
639,Huashi,47.674897,227754,-22.35694
640,Mukun,51.6807295,643331,-19.34139
641,Taman,95.1880885,325704,-13.926
642,Boston,72.2734537,677652,22.03734
643,Dongguang,63.3445803,636311,10.08098
644,Zhen’an,63.8887054,715340,-2.80959
645,Guleluke,31.2687591,172723,-12.05202
646,Los Algarrobos,30.1672383,757182,20.24303
647,Chiba,66.1567887,85346,16.50328
648,Kyustendil,78.5388475,674429,23.87468
649,Canaman,28.1741679,151682,-10.7137
650,Malabang,27.808846,415027,-15.83728
651,Tala,48.5926091,42792,24.91251
652,Hämeenkoski,57.4386932,111733,-14.09587
653,Xianqiao,86.9443013,318894,22.25026
654,Kremenets’,39.0452923,826346,2.06389
655,Gospić,82.2988975,815719,4.97995
656,Vidovci,41.2117422,682774,5.13969
657,Puerto San José,12.1733621,303022,3.81869
658,Bolorejo,36.0916712,662777,-19.60788
659,Moyynkum,74.7008159,208621,-17.64952
660,Guanlu,1.3607177,82159,-17.17071
661,Pehčevo,45.6337148,820165,-16.16517
662,Sishiba,70.5114824,545750,13.51418
663,Concepcion,28.4306358,853487,3.30337
664,Aeka,24.8704618,406870,-20.33248
665,Pamoyanan,30.9379067,510658,-15.94794
666,Cikalong,58.9095514,247917,-12.17655
667,Turmi,10.1054751,58573,23.96948
668,Bopu,74.8255607,148035,18.20908
669,Lugar Novo,1.4875088,555536,-18.75439
670,Shiye,92.7902832,229272,20.47722
671,Kallar Kahār,44.7913645,535948,9.96459
672,Kuczbork-Osada,50.7936902,779570,3.34032
673,Galveias,36.0074728,425991,7.34401
674,Bābolsar,79.2889901,523691,-23.10479
675,Lukou,94.8348595,459478,-19.48671
676,Tabia,25.0416362,321562,-22.37638
677,Puerto Asís,5.2514838,656063,-16.1977
678,Pag,84.5560673,982308,-4.54992
679,Sumbergayam,49.2080827,937133,-1.74903
680,Hněvotín,17.5164409,664513,-19.55735
681,Ankou,60.82825,43859,20.93167
682,Haoba,11.5126496,138906,20.64315
683,Brodek u Přerova,25.3618764,961896,3.30807
684,Beloha,55.9864315,191137,-15.17264
685,Shuiying,43.6341136,741832,21.39361
686,Vahdat,39.8674653,232675,-4.3082
687,Stockholm,89.4190937,480003,19.86083
688,Taltal,61.1951973,856308,-16.3826
689,Shiree,63.6137939,936008,-10.57562
690,Narutō,35.0252227,975816,24.64799
691,Lanhe,98.2263064,457385,-2.96075
692,Tawangsari,55.4792629,731811,5.64541
693,Al Wardānīn,57.8526114,971069,-23.94204
694,Bayanbaogede,63.5332343,605281,-14.62348
695,Zhujiaqiao,30.0523391,36446,19.87576
696,Sōja,46.5604208,866856,-12.77726
697,Photharam,91.5591784,733516,-14.78731
698,Kap Choeng,92.244942,523390,4.99584
699,Yuyao,1.4076811,243773,16.39356
700,Kalayemule,21.8438294,342631,-9.64399
701,Lianhe,50.1816314,814755,-10.35422
702,Dowlatyār,12.0069899,553325,12.46683
703,Rialma,34.9806993,652653,-6.83635
704,Vorzel’,4.9393199,871881,-15.5831
705,Planeta Rica,26.8342297,634158,-1.65101
706,Jianghu,71.7994817,566364,9.87675
707,Hetai,29.9159939,699430,-7.76751
708,Jingdu,48.2824346,824681,21.74885
709,Tanghua,47.7599126,533890,-15.66485
710,Villa Nueva,87.170469,783295,2.03061
711,Yaodian,58.6346796,208424,13.25671
712,Klole,85.5333915,63272,-8.04643
713,General Emilio Aguinaldo,7.1932341,383917,24.65494
714,Longjing,96.5866199,287378,24.79094
715,Kamloops,45.0886907,137627,-23.39337
716,Ambatofinandrahana,88.7820505,536485,22.48525
717,Gubo,42.663214,329513,-22.44338
718,Cochabamba,26.8522134,553043,23.50486
719,Magitang,77.6262376,495111,14.96935
720,Ballsh,65.5780575,122713,13.38562
721,San Agustín,52.9297729,433073,-2.63962
722,Köpingsvik,73.7905013,395058,-2.67424
723,Baquero Norte,51.5994708,961751,19.29537
724,Halmstad,45.0860413,218494,-12.66633
725,Jazovo,88.3990245,814983,3.55075
726,El Rosario,15.7965376,689735,17.97397
727,Moorreesburg,10.1411781,385284,-7.22774
728,Albion,54.522714,952504,22.44781
729,Bershet’,93.438059,600380,-18.54185
730,Crauthem,67.0242752,258187,-3.93868
731,Donghui,42.8078084,462041,-10.16545
732,Houjiagang,10.9795,432073,-5.7098
733,Lewokluok,18.2259333,144004,16.8375
734,Altavista,2.6903197,718947,-5.59998
735,Rio Grande da Serra,43.9801027,753846,9.65414
736,Ferraz de Vasconcelos,67.6503432,837363,14.59156
737,Ponte,8.2826532,400200,-7.74259
738,Chuangwang,96.0206434,424935,-10.81119
739,Pajić Polje,25.0430514,319270,1.05635
740,Kontagora,55.9082908,977824,24.00544
741,Yanjiang,96.7997256,167627,-14.80593
742,Ronneby,88.8666932,160124,-0.6555
743,Brzeg Dolny,27.6389727,825640,-21.17939
744,Chilliwack,63.3882151,178248,-24.28993
745,Barayong,47.384431,161847,-16.4642
746,L'Épiphanie,41.1634448,266600,18.83786
747,Nagrak,94.1580508,605835,-6.92766
748,Nowy Korczyn,40.8108059,270646,21.08308
749,Suzëmka,18.4629581,903486,24.09704
750,Puyang,7.2157635,347982,-3.2587
751,Osan,92.0976834,321556,-21.32099
752,Ust’-Katav,16.9528997,200659,14.30753
753,Shanggan,39.5967494,48953,-10.94905
754,Real,72.137428,147451,3.44775
755,Turmi,4.4610386,39289,-11.91569
756,Ning’an,51.0735648,149444,13.52889
757,Qikeshu,78.7736009,940562,-23.00855
758,Vierzon,87.2137902,247360,4.95378
759,Xinhui,13.0529387,668775,12.88706
760,Крива Паланка,25.0046755,259767,-16.68345
761,Wololele A,41.5119384,374037,11.46618
762,Chedao,38.0989492,733337,17.66628
763,Kauman,40.0403114,837441,-18.45757
764,Kungsör,50.4103572,75573,-9.69819
765,Baitoa,81.7445965,282591,3.22977
766,Ibagué,7.9434036,493879,-4.66663
767,Changtan,68.0726846,727022,1.69324
768,Thị Trấn Hát Lót,37.229996,838382,13.80644
769,Lishu,26.2286222,902554,24.84775
770,Vinha,65.1176573,298739,-16.45616
771,San Rafael,26.026905,573264,16.44956
772,Sambong,84.6419583,111994,-24.46248
773,Nanmuping,56.611376,99610,1.87256
774,Santa Helena de Goiás,78.646389,619206,-16.36349
775,Hutang,7.8165902,413093,-5.52188
776,Khantaghy,75.1940031,263851,15.5787
777,Čelinac,7.5838192,691146,-13.12719
778,Evansville,18.6072812,44444,1.9464
779,Santa Barbara,81.5465062,374382,7.74532
780,Sindong,51.0163975,481773,23.32055
781,Rechka,62.4426859,405876,-9.99031
782,Knyazhichi,33.4561151,802112,-21.34193
783,Blažovice,17.6524805,634662,-15.71949
784,Wanlongshan,56.2907085,779491,5.39261
785,Wudabao,41.4955427,738198,-22.39333
786,Villa Florida,11.1761628,923009,-21.58897
787,Taojiahe,9.0640034,672675,2.2815
788,Guanshui,42.0899057,951061,15.17337
789,Bukowiec,48.8894263,924440,-14.15146
790,Mellila,6.0914438,703362,-12.2666
791,Krasnoshchekovo,63.5397452,918592,-6.25375
792,Purwokerto,14.0185685,941479,-13.07472
793,Lokokrangan,65.9747989,414456,18.27434
794,Itsukaichi,22.8095876,335929,6.33314
795,Matviyivka,91.7696241,967664,2.85268
796,Bồng Sơn,52.5826731,97219,21.65779
797,Dasongshu,65.247945,732751,13.65932
798,Xiqiao,12.1179623,604057,12.33667
799,Santa Clara,80.8271409,204603,-7.01474
800,Jing’an,4.6537167,125400,-11.49339
801,Bonn,7.3026019,770536,-24.48907
802,Kasukabe,42.0304977,256785,-16.39093
803,Baishan,22.8735148,836186,-9.04132
804,Balaoang,34.293191,659527,-23.60463
805,Kaset Sombun,20.3908425,829272,-20.1687
806,Cibeureum Kidul,59.9986797,148443,-13.53598
807,Twante,84.1621125,875755,-12.54555
808,Lillehammer,36.6172951,458483,-1.92312
809,Sępólno Krajeńskie,57.2251606,868191,2.15829
810,Kuala Lumpur,91.0071937,616251,20.82165
811,Göteborg,76.824632,327933,19.68328
812,Sérifos,31.9881775,785714,24.70648
813,Gereshk,77.6285835,273674,22.84075
814,Hollywood,59.9248616,414516,4.06282
815,Zhongxiao,19.7722464,125317,-6.0789
816,Mateur,15.7418393,761035,-20.45497
817,Shache,64.3510055,448718,-15.32305
818,Arujá,53.0407901,654130,8.7754
819,Všeruby,69.6009203,632920,-7.84199
820,Tuzha,63.2496962,502377,-18.94388
821,Maceda,86.8744239,864876,7.7
822,Lilongwe,48.5687375,97429,18.70376
823,Nakovo,23.5291796,53779,-6.25531
824,Hekou,52.8666725,310905,-18.83174
825,Juxing,27.1555757,170751,23.90698
826,Beixiang,5.7917398,34335,20.67762
827,El Quiteño,36.129889,977909,4.80518
828,Lappi,50.6222278,507787,11.27119
829,Białołeka,5.7747738,374388,20.04514
830,Nizhniye Achaluki,92.5398192,323870,-23.5537
831,Sedatiagung,61.0796069,704999,3.97163
832,Dabaozi,96.093097,863642,-23.37575
833,Fuquan,77.9163437,867311,14.95902
834,Thongwa,75.4909554,538770,5.92644
835,Buenlag,64.0136706,80908,-6.46112
836,Weetombo,74.0025286,902837,-8.91102
837,Lanxi,23.1164578,743847,-24.5291
838,Najrān,15.6944016,416579,2.49415
839,San Mateo,31.3979068,660792,18.49793
840,Jiedu,9.4257123,730019,23.10217
841,Songshan,92.9627355,268823,20.41278
842,Panyingkiran,57.9701175,926330,19.76287
843,Lũng Hồ,69.35325,491675,-17.97672
844,Petrovskoye,9.5565801,72658,1.64423
845,Zaporizhzhya,11.5122631,201590,9.44352
846,Kołczygłowy,95.6636499,275343,-20.5476
847,Karlstad,49.5127922,160140,-21.53251
848,Naguilian,90.8816305,103274,-2.52498
849,Cusco,90.5281537,865928,-17.13995
850,Sịa,53.3782598,903329,-11.59232
851,Kirkton,99.9059044,123764,-8.93307
852,Kasamatsuchō,15.2433583,686539,24.33397
853,Leigao,28.1992712,993306,-24.22719
854,Boroon,1.9822609,938428,6.4593
855,Timiryazevo,78.9112218,722599,-6.61501
856,Vetlanda,79.2319675,49887,18.30627
857,Huayacundo Arma,25.1617016,537234,20.38474
858,Layo,34.2628453,879252,17.18215
859,Shlissel’burg,94.0558321,758758,-19.79864
860,Amirdzhan,22.8638016,737720,-23.0525
861,Gunajaya,83.1730378,660400,15.80828
862,Babasakhib,3.3895285,498156,-10.63172
863,Maniwaki,51.1783561,212350,15.13117
864,Oeleu,79.4485309,487844,-8.27152
865,Kertapura,95.7789168,788914,14.91604
866,Uchimaru,50.0163448,472645,7.78859
867,Milagros,48.9919367,428066,3.67108
868,Scranton,25.4205031,476524,10.1496
869,Špišić-Bukovica,50.7404874,815713,23.52565
870,Hanyuan,63.9661636,860528,4.52907
871,San Jose,47.1039864,663905,8.42265
872,Oslo,64.4750201,684106,-19.0414
873,Bamenda,16.5474965,709545,11.41431
874,Khalīlābād,98.4595368,565958,-15.22147
875,Sinazongwe,18.8876737,780351,17.83375
876,Sujiatun,89.6984889,148234,-2.73768
877,Luján de Cuyo,91.3490148,871531,7.24179
878,Kralupy nad Vltavou,42.4039035,66367,10.38911
879,Dallas,14.2654259,238433,-17.42205
880,Černá Hora,13.9097785,332732,-13.36447
881,Kożuchów,51.1538505,168651,6.64913
882,Nagasari,69.2325917,185215,-17.37606
883,Verkhnyaya Belka,49.8580913,718356,-8.63445
884,Salcedo,55.6257708,792691,4.81592
885,Sansanné-Mango,64.2012206,245131,-8.23274
886,Nankāna Sāhib,11.4131074,732989,11.00108
887,Vasylkiv,26.1705925,645448,4.57267
888,Longwu,84.7784651,87403,-0.13048
889,Malummaduri,88.4420722,114430,-3.98329
890,Calape,28.2575405,987615,16.34702
891,Huangpu,63.3045419,599093,-7.32001
892,Pueblo Nuevo,74.4750114,464201,3.3552
893,Porlamar,22.7538549,365178,8.80544
894,Thoeng,78.6375742,340274,-10.59376
895,Minle,31.9923831,164818,12.77941
896,Huimin,94.0786618,775021,13.66503
897,Złotów,20.9907566,838307,9.85312
898,Az Zulfi,19.8808729,134869,19.0673
899,Vysehrad,73.9468803,908715,-17.88774
900,Kampene,97.4296067,700454,3.41374
901,Huangcun,45.4693627,896435,1.99707
902,Paris 19,27.5099556,517200,-7.60316
903,Alhos Vedros,90.9020417,510662,19.14016
904,Tegalagung,85.168563,885418,7.99517
905,Gaowu,67.2267332,130698,7.45959
906,Pisz,53.7709014,819957,23.45154
907,Pu’an,96.4687753,187311,-7.37797
908,Bogatynia,1.2119502,600120,-19.60147
909,Qijiaxi,39.8235253,816066,-1.03768
910,Azacualpa,39.8790907,279518,18.10485
911,Cintra,50.7638242,142634,18.03887
912,Ichnya,79.8746562,930877,-3.40532
913,Dhanot,67.5289126,591562,13.47452
914,Surup,16.2608281,919491,2.27944
915,West Palm Beach,68.73083,712649,-12.07445
916,Kalembutillu,51.6724713,612617,-23.77972
917,Zalantun,77.6176448,104543,11.92348
918,Gaojia,68.6252247,920949,18.2736
919,Jiacun,44.7592792,880466,4.16602
920,Cañasgordas,37.3092314,922299,16.19073
921,Yonago,9.3420465,375177,-0.74791
922,Randegan,43.3093519,236743,15.5275
923,Machetá,52.9605752,300997,7.2838
924,Wola Jachowa,30.0711525,36858,-23.66833
925,Cockburn Town,43.4645657,665430,10.92416
926,Comilla,93.9546692,103823,4.31367
927,Xiaoxi,60.9013307,273997,20.29615
928,Kupiskis,86.3873487,653570,9.69893
929,Harbin,10.0132088,98091,-19.49582
930,Āsmār,17.364362,180807,-16.95472
931,Campraksanta,49.2754634,266770,-1.84857
932,Ribeiro,32.2426343,517093,-0.59142
933,Nungwi,23.27124,639049,-6.76217
934,Rūdiškės,88.6336864,278426,-2.09313
935,El Quebrachal,60.7367085,59065,-23.32831
936,Gävle,98.1103953,737197,-7.95091
937,Fenglin,65.1650298,321899,10.93391
938,Motge,45.7490914,457031,-19.79362
939,Litian,95.7922057,726750,-18.3124
940,Melaka,81.5356467,900155,-3.59068
941,Hujia,69.1378489,366407,14.36997
942,Vorontsovka,29.7352692,939619,4.86047
943,Ulaan Khat,53.5756108,743712,19.64965
944,Casuguran,70.8018981,940437,11.30994
945,Berlin,82.7541075,485100,21.61637
946,Alto do Estanqueiro,81.1102526,432796,10.41075
947,Pilaya,69.2262698,307967,11.70637
948,Ludu,55.9949657,184968,15.95415
949,Nogueira,96.7758082,54561,-9.15513
950,Xitiangezhuang,43.7340875,496254,13.23972
951,Liloan,10.6489559,744703,9.22035
952,Tanjung Palas,93.3553492,161552,-22.53899
953,Oskarshamn,88.4452973,929549,4.71948
954,Bagong Barrio,67.1693427,217214,8.61596
955,Mikstat,62.8951298,162822,-17.13128
956,Ivanovskoye,89.764202,27611,-24.40539
957,Mértola,38.1065266,365015,20.87527
958,Sukarame,70.2245114,271986,-13.915
959,Borda da Mata,34.9858351,147359,7.04821
960,Baibu,93.1024908,807584,-3.4166
961,Ciakar,68.2677948,974403,-21.38246
962,Pelasgía,54.9807512,358075,17.57058
963,Medaya,4.5664226,622476,-11.74669
964,Hushaat,2.3907261,115477,-18.14948
965,Araruama,65.5280067,324671,-18.70562
966,San Eduardo,8.3140677,54038,-0.8639
967,Aldeia,55.4290782,927504,-14.4001
968,Sorren Daya,6.4737062,931618,4.48585
969,San Francisco,61.5113471,348302,-20.25086
970,Lelydorp,12.6384845,545632,-13.22246
971,Rumat Heib,21.5948016,883634,15.56911
972,Fulu,5.4633054,898165,-20.61416
973,Aranguren,1.8752085,90883,10.54619
974,Bueng Khong Long,44.849359,855435,-20.39144
975,Leppävirta,55.909189,207249,-17.11008
976,Jiazhi,67.7082935,816102,-10.05683
977,Grajaú,15.1720489,818064,-6.47015
978,Cannes,37.5871715,756613,-24.35223
979,Volgo-Kaspiyskiy,61.3891289,789286,-16.04128
980,Parista,48.5766349,645024,-18.2014
981,Ikey,61.5937239,774852,-10.99984
982,Pyatnitskoye,81.6408824,409400,-19.27328
983,Nässjö,73.7220956,338159,15.67075
984,Nadrupe,57.7183737,697987,14.39446
985,Petrijevci,55.0753936,510074,-13.83149
986,Bacem,7.6901165,452147,-22.83508
987,Mawlaik,9.9798308,668103,-20.4331
988,Kakamas,48.834794,117370,-20.88523
989,Bulangan,34.9109269,685375,-19.86097
990,Sumqayıt,18.1771722,137617,15.9884
991,Zarya,18.3952376,820096,2.82527
992,Karang Daye,50.3628937,300350,-5.09537
993,Marseille,98.9009312,681025,4.50076
994,Taupo,96.6292517,671040,-24.66717
995,Baoshan,53.7595149,879922,-11.23811
996,Castlebellingham,43.9558666,884689,-23.21116
997,Bowang,24.9956092,819963,19.80034
998,Huangjiakou,50.6934548,415695,-8.60078
999,Voskopojë,76.0583536,120458,11.32595
1000,Maulavi Bāzār,21.4359249,68183,-21.02502
